mol_id,smiles,antibacterial,antifungal,antiviral,not_antibacterial,not_antifungal,not_antiviral
1,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,,,6,,,
2,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,,,13,,,
3,NC12CC3CC(CC(C3)C1)C2,,,11,,,
4,CC1(CO)C(O)CCC2(C)C1CCC1CC3CC12CCC3(O)CO,,,4,,,
5,Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,,,6,,,
6,C=C1C(=O)OC2C=C(C)CCC=C(C)CCC12,,,4,,,
7,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1.CS(=O)(=O)O,,,14,,,
8,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,,,11,,,
9,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,,,8,,,
10,Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1,,,3,,,
11,Nc1ccn(C2CCC(CO)O2)c(=O)n1,,,16,,,
12,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,,,16,,,
13,O=c1cc(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3OC3OCC(O)(CO)C3O)cc(O)c12,,,3,,,
14,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,,,4,,,
15,CC(C)C(C)C=CC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C,,2,6,,,
16,CC(=O)NC(CS)C(=O)O,,,4,,,
17,CC(C)(C)OC(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)OC(C)(C)C,,,6,,,
18,Nc1nc(=O)n(C2CSC(CO)O2)cc1F,,,14,,,
19,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1.[Cl-].[H+],,,4,,,
20,Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O,,,12,,,
21,CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21,,,7,,,
22,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,,,11,,,
23,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,1,,11,,,
24,Cc1c(Sc2ccccc2)n(COCCO)c(=O)[nH]c1=O,,,10,,,
25,CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O,,,12,,,
26,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,,,3,,,
27,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,,,12,,,
28,CC(=O)NC1C(NC(=N)N)C=C(C(=O)O)OC1C(O)C(O)CO,,,7,,,
29,Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1.O.O,,,6,,,
30,C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21.O,,,7,,,
31,O.O.O.O.O.O.O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],,,9,,,
32,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,,,7,,,
33,Nc1ccn(C2CSC(CO)O2)c(=O)n1,,,20,,,
34,Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,,,11,,,
35,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,,,15,,,
36,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,,,12,,,
37,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,,,9,,,
38,CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,,,10,,,
39,CCCC1(CCc2ccccc2)CC(O)=C(C(CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,,,11,,,
40,CC(C)C(N)C(=O)OCC(CO)OCn1cnc2c(=O)nc(N)[nH]c21,,,8,,,
41,CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)O.O,,,13,,,
42,CC(C)OC(=O)OCOP(=O)(COC(C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,,,12,,,
43,CC(C)OC(=O)OCOP(=O)(COC(C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C.O=C(O)C=CC(=O)O,,,14,,,
44,CC(O)CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC1CC(=O)OCC2OC(OC(CCCCCCCCCCCCCC(CCCCCC(C)O)OC3OC(CO)C(O)C(O)C3O)CC(=O)OCC3OC(O1)C(O)C(O)C3O)C(O)C(O)C2O)OC1OC(CO)C(O)C(O)C1O,,,8,,,
45,Cc1cc(O)cc(O)c1C(=O)OC(C)Cc1cc(O)cc(O)c1C(=O)OC(C)Cc1cc(O)cc(O)c1C(=O)OC(C)Cc1cc(O)cc(O)c1C(=O)O,,,4,,,
46,CC(CCC1OC1(C)CO)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(=O)C(C)(C)C1CC3=O,,,4,,,
47,COc1cc(CCC(O)CC(=O)CCc2ccccc2)ccc1O,,,4,,,
48,COc1ccc(O)c2c1CC1(C)C(C)CCC3C(C)(C)CCCC31O2,,,4,,,
49,CCCC(NC(=O)C1C2CCCC2CN1C(=O)C(NC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,,,7,,,
50,CC(C)(C)NC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,,,6,,,
51,COc1c(C)c(O)c(C)c2occ(-c3ccccc3)c(=O)c12,,,4,,,
52,Cc1c(O)c(C)c2c(c1O)C(=O)C(O)C(c1ccccc1)O2,,,4,,,
53,COc1c(C)c(O)c(C)c2c1C(=O)CC(O)(c1ccccc1)O2,,,4,,,
54,COc1c(C)c(O)c(C)c(O)c1C(=O)C=Cc1ccc(O)cc1,,,4,,,
55,COc1c(C)c(O)c(C)c2oc(-c3ccccc3)cc(=O)c12,,,4,,,
56,COc1c(C)c(O)c(C)c(O)c1C(=O)C=Cc1ccccc1,,,4,,,
57,COc1cc(O)c(C)c(O)c1C(=O)C=Cc1ccccc1,,,4,,,
58,COc1c(C)c2c(c(O)c1C=O)C(=O)CC(c1ccccc1)O2,,,4,,,
59,COc1c(C)c(O)c2c(c1C=O)OC(c1ccccc1)CC2=O,,,4,,,
60,Cc1c(O)c(C)c2c(c1O)C(=O)CC(c1ccccc1)O2,,,4,,,
61,CCC1CCCNC(=O)C(C)C(OC2OC(C)C(O)C(N)C2O)CCC(C)CCC1,,,3,,,
62,CCC(CC)OC1C=C(C(=O)O)CC(N)C1NC(C)=O,,,3,,,
63,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,,,8,,,
64,CC(=O)NC(CS)C(=O)[O-],,,2,,,
65,NC12CC3CC(CC(C3)C1)C2.NC12CC3CC(CC(C3)C1)C2.O=S(=O)(O)O,,,3,,,
66,COC(=O)NC(C(=O)N1CCCC1c1ncc(-c2ccc(-c3ccc(-c4cnc(C5CCCN5C(=O)C(NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,,,8,,,
67,COC(=O)NC(C(=O)N1CCCC1c1ncc(-c2ccc(-c3ccc(-c4cnc(C5CCCN5C(=O)C(NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C.Cl.Cl,,,6,,,
68,CC(C)OC(=O)C(C)NP(=O)(OCC1OC(n2ccc(=O)[nH]c2=O)C(C)(F)C1O)Oc1ccccc1,,,7,,,
69,COC(=O)NC(C(=O)N1CC2(CC2)CC1c1nc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5[nH]c(C6C7CCC(C7)N6C(=O)C(NC(=O)OC)C(C)C)nc5c4)ccc2-3)c[nH]1)C(C)C,,,7,,,
70,COc1c(-c2ccc3cc([N-]S(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C.O.[Na+],,,5,,,
71,COc1c(-c2ccc3cc([N-]S(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C.[Na+],,,2,,,
72,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,,,6,,,
73,COC(=O)NC(C(=O)N1CCCC1C(=O)Nc1ccc(C2CCC(c3ccc(NC(=O)C4CCCN4C(=O)C(NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,,,8,,,
74,Cc1cnc(C(=O)NC2CCCCCC=CC3CC3(C(=O)NS(=O)(=O)C3CC3)NC(=O)C3CC(Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,,,9,,,
75,CCC(CC)C(NC(C)=O)C1C(NC(=N)N)CC(C(=O)O)C1O.O.O.O.O,,,3,,,
76,CCC(CC)C(NC(C)=O)C1C(NC(=N)N)CC(C(=O)O)C1O,,,6,,,
77,CC(C)OC(=O)C(C)NP(=O)(COC(C)Cn1cnc2c(N)ncnc21)Oc1ccccc1.CC(C)OC(=O)C(C)NP(=O)(COC(C)Cn1cnc2c(N)ncnc21)Oc1ccccc1.O=C(O)C=CC(=O)O,,,10,,,
